P,P_sigma,Rplanet,Rplanet_sigma,Teff,Teff_sigma,Rstar,Rstar_sigma
7.09712124,2.596e-05,0.74,0.1,3569.0,74.5,0.389,0.052000000000000005
23.67513153,9.032e-05,2.76,0.33,5309.0,143.0,0.781,0.094
15.28467725,6.404e-05,2.7,0.48,5763.0,82.0,1.374,0.2435
1.638652525,8.749e-06,1.29,0.275,6119.0,221.5,0.981,0.2115
9.06687613,7.246e-05,1.9,0.22,5142.0,179.0,0.789,0.091
11.20058855,7.691e-05,1.7,0.315,6038.0,172.0,0.898,0.1655
2.03387483,1.408e-05,1.6,0.28500000000000003,5282.0,78.5,1.899,0.339
5.19492747,2.784e-05,2.03,0.46,6415.0,210.0,1.224,0.28
15.9314412,0.0001331,1.77,0.22,5380.0,160.0,0.721,0.09
28.227413,0.0001498,2.82,0.5,5858.0,174.5,0.849,0.1505
11.62904159,7.444e-05,1.31,0.2,5721.0,108.5,1.131,0.173
20.0708757,0.0004868,3.2,0.6000000000000001,5902.0,74.5,1.513,0.2845
86.1160885,0.0009081,3.11,0.7050000000000001,6161.0,214.5,1.053,0.238
13.1829329,0.0001074,1.84,0.255,5382.0,176.0,0.827,0.115
3.51575492,1.389e-05,1.35,0.285,5094.0,165.5,0.901,0.1915
1.4951513,1.197e-05,1.44,0.275,5635.0,81.0,1.452,0.27649999999999997
22.4765952,0.000204,1.21,0.105,4563.0,130.0,0.567,0.047
42.5217006,0.0005942,2.45,0.5,5911.0,186.0,0.914,0.1875
11.95401876,7.573e-05,2.1,0.165,4359.0,155.0,0.659,0.052000000000000005
0.88184263,3.021e-06,1.24,0.155,5268.0,184.0,0.776,0.0985
10.3108232,0.0001066,1.27,0.245,5708.0,160.5,0.893,0.1725
25.384175,0.0001936,2.44,0.51,6137.0,192.5,0.994,0.208
15.3626052,0.0001032,1.8,0.20500000000000002,5011.0,183.0,0.851,0.099
6.73968289,6.397e-05,1.48,0.245,5511.0,76.5,1.176,0.193
2.279523364,8.536e-06,0.87,0.09,5017.0,143.5,0.797,0.08299999999999999
6.4802138,4.147e-05,1.26,0.14,5496.0,78.0,0.983,0.11
15.86624787,6.813e-05,1.31,0.055,6099.0,82.0,1.308,0.054
15.1408916,0.0001144,1.93,0.395,5926.0,197.0,0.887,0.182
2.44358543,1.446e-05,0.67,0.060000000000000005,5561.0,111.0,0.873,0.0825
18.2206024,0.0001324,1.78,0.265,5951.0,75.0,1.262,0.1885
0.740926358,1.837e-06,1.22,0.215,5618.0,160.5,0.874,0.1555
6.69958851,4.296e-05,1.24,0.155,5296.0,159.0,0.799,0.0985
56.6746666,0.0004151,4.01,0.745,5541.0,77.5,1.295,0.24
12.27057043,6.863e-05,1.67,0.34500000000000003,6075.0,189.0,0.969,0.1995
13.2274753,0.0001326,1.94,0.42,6269.0,198.5,1.155,0.2505
54.5091549,0.0005671,1.94,0.16999999999999998,4406.0,124.5,0.603,0.053000000000000005
35.6225528,0.0005427,2.24,0.395,5799.0,166.0,0.878,0.154
47.1607932,0.0004362,2.58,0.47500000000000003,5936.0,175.5,0.965,0.1785
47.0320478,0.0007193,1.98,0.365,5370.0,80.0,1.055,0.1925
18.1373788,0.0002307,1.41,0.13,4257.0,155.5,0.602,0.056
40.1097817,0.0001409,3.11,0.51,5509.0,76.5,1.169,0.193
62.869463,0.001024,1.96,0.09,4762.0,80.5,0.781,0.0355
3.517494725,3.791e-06,1.42,0.07500000000000001,4132.0,86.5,0.564,0.03
29.9632816,0.0001998,2.24,0.19,4463.0,159.0,0.638,0.054
29.3493852,0.0001755,2.02,0.19,4987.0,143.5,0.722,0.0685
65.6491001,0.000713,2.52,0.37,5436.0,187.0,0.819,0.121
25.1593389,0.0004236,1.76,0.35000000000000003,5973.0,208.0,0.935,0.1865
31.827649,0.0001355,4.98,1.97,4774.0,85.5,1.954,0.7735
47.0568476,0.0001896,2.84,0.345,5288.0,159.0,0.74,0.0895
8.23983041,4.005e-05,2.35,0.425,5794.0,78.0,1.496,0.272
18.6052046,0.0002929,1.94,0.41000000000000003,6572.0,222.5,1.238,0.26249999999999996
23.9553986,0.0001816,2.84,1.6800000000000002,5011.0,141.5,1.781,1.051
3.02168007,8.511e-06,1.31,0.255,6201.0,187.5,0.989,0.194
14.2563272,0.0001743,1.73,0.385,6140.0,203.5,1.027,0.2275
0.968980781,6.407e-06,1.08,0.22999999999999998,5866.0,192.5,1.0,0.2145
4.48494315,3.379e-05,1.23,0.27,6217.0,194.0,1.051,0.23249999999999998
2.46050095,1.172e-05,1.03,0.09,4811.0,174.0,0.634,0.056
5.8660127,4.636e-05,1.45,0.325,6020.0,211.0,1.04,0.233
23.9107056,0.0004387,1.91,0.41,6338.0,191.0,1.091,0.2355
4.13592927,2.811e-05,1.43,0.185,5886.0,79.0,1.152,0.1515
